IMAGE_FILE,DESCRIPTION,TECHNIQUE,SHAPE,TYPE,SCHOOL,TIMEFRAME,description_plus,AUTHOR,TITLE,description_final,NewColor1,total_score,scoreAUTHOR,제목
19696-colonel.jpg,"Colonel Colin Mackenzie (1754-1821) was Surveyor General of India, and an art collector and orientalist. He produced many of the first accurate maps of India, and his research and collections contributed significantly to the field of Asian studies.In the background of the portrait, in the distance is the colossal Jain statue of Gomateswara at Karkala in Mysore.Although Thomas Hickey was born and brought up in Ireland, he is best known for his work outside his native country. In particular he is remembered for his work in India, notably Madras and Calcutta, between the years 1784 to 1791 and 1779 to 1824","['Oil', 'canvas']",['Horizontal'],['Portrait'],['Irish'],"['Rococo', 'Neoclassicism']",a painting of a man in a red uniform,hickey thomas,Colonel Colin MacKenzie,"인도 총독 코リン 맥켄지(1754-1821)의肖像입니다. 맥켄지는 인도의 지리학 연구자이기도했으며, 그의 연구와 수집은 아시아 학에 상당한 기여를 했습니다.","(41, 31, 17)",0.0,0,
18113-athens.jpg,This view was executed after a mural painting in the Berlin Museum,"['Oil', 'canvas']",['Unknown'],['Landscape'],['German'],"['Realism', 'Impressionism', 'Post-Impressionism', 'Art', 'Nouveau']",a painting of a city with a large building in the background,graeb carl georg anton,View of Athens,아테네의 풍경. 건물 하나만 존재하는 도시의 그림이다.,"(183, 172, 203)",0.0,0,
00812-marco_p2.jpg,This picture is the first from the left on the predella,"['Tempera', 'wood']",['Vertical'],['Religious'],['Italian'],['Renaissance'],the painting of person,angelico fra,Saint Cosmas and Saint Damian before Lisius,이 그림은 이오니아 형태의 두 성도(성 Cosmas와 성 Damian)의 모습을 담고 있다.,"(177, 147, 115)",0.0,0,
12233-pre_v_7.jpg,"This panel is on the back predella of the Maest&#224;.The use of space through a delicate balance of scene is to be found in the Healing of the Blind Man. The followers of Christ are grouped in front of a massive crenellated building, while the figure of the blind man, repeated in two distinct narrative moments, is placed in a more open area: the short stretch of road","['Tempera', 'wood']",['Vertical'],['Religious'],['Italian'],"['Medieval', 'Period']","the adoration of the cross, c 1470 - 150",duccio di buoninsegna,Healing of the Blind Man (scene 7),"그림의 제목은 ""눈이 아파는 사람의 치유""이며, 주제는 기독교와 관련되어 있습니다. 그림의 스타일은 15세기 후반의 이탈리아 미술과 닮았습니다.","(219, 196, 173)",0.0,0,
43547-return.jpg,"Rarer in religious iconography, the Return from the Flight to Egypt portrays the return journey of the Holy Family and Christ as an older child to Nazareth, which they had left to escape the fury of Herod. Set in a panoramic landscape, the scene describes the crossing of a river. The Family is sitting in a boat steered by two boatmen, one perched on the bow and the other on the stern. The Virgin, Joseph, Christ and their donkey are all on board. A fifth person is not identified","['Oil', 'copper']",['Horizontal'],['Religious'],['Flemish'],['Renaissance'],a painting of a group of people in a boat,vos marten de,Return from the Flight to Egypt,"주제: 성모 마리아와 예수님의 여행

가장 눈에 띄는 요소: 사람들 사이즈를 크게 그린 배에 타고 있는 것

분위기: 자연 경관에 깔린 평온한 분위기","(154, 156, 138)",0.0,0,
21336-countess.jpg,"The sitter of this portrait is the Countess of Lameth, born Marie-Anne Picot (1766-1825). Labille-Guiard also painted a pastel portrait of the husband of the sitter, Charles de Lameth (1757-1832), a French politician and soldier","['Oil', 'canvas']",['Horizontal'],['Portrait'],['French'],"['Rococo', 'Neoclassicism']",a painting of a woman in a white dress,labilleguiard adélaide,Portrait of the Countess of Lameth,1766년생 미술가 레이빌-기용(Labille-Guiard)의 화려한 드레스를 입은 여성-portrait.,"(47, 40, 28)",0.0,0,
21076-viewvilla.jpg,"Leo von Klenze is best known as an architect and one of the most important proponents of Greek Revival architecture in Germany during the first half of the 19th century. In addition to his architectural work, he was also an accomplished painter and draughtsman. He travelled to Italy frequently where he made numerous sketches of the landscape and architecture","['Oil', 'canvas']",['Vertical'],['Landscape'],['German'],"['Romanticism', 'Realism']",a painting of a castle on a hill,klenze leo von,"View of the Villa Lucia on the Vomero Hill, Naples",네아폴리의 보모레 언덕에 있는 빌라 루치아(Villa Lucia)와 그 주변 풍경.,"(42, 40, 25)",0.0,0,
37797-3east3.jpg,"Scene 14 on the east wall shows when St Benedict recognizes the sword bearer Riggo disguised as King Totila. Totila, king of the Goths, announces his visit to the monastery. He does not, however, enter himself but rather sends his sword bearer, Riggo, disguised as the king and accompanied by a royal retinue, in order to test whether Benedict actually possesses the gift of prophesy, as had been reported. The saint immediately sees through this attempted deception",['Fresco'],['Unknown'],['Religious'],['Italian'],"['Medieval', 'Period']",the painting of the last supper of the apostles,spinello aretino,St Benedict Recognizes the Sword Bearer Riggo Disguised as King Totila,스aint 베네딕트가 왕TOTALA를 의식하지 못하게 하면서 Riggo와 그의 궁정 retinue를 그린 그림.,"(101, 75, 53)",0.0,0,
24379-bard.jpg,"During the Napoleonic threat a number of British painters had taken up the theme of the suppression of the Celtic Welsh by the English King Edward III, epitomized by the destruction of the ancient bards. Martin's vision of a lone bard driven to a rocky wasteland by the invading army comes close to an apocalyptic Romantic conception, the 'last man'","['Oil', 'canvas']",['Horizontal'],['Landscape'],['English'],"['Romanticism', 'Realism']",a painting of a man on a cliff overlooking a river,martin john,The Bard,영국 왕 에드워드 3세의 침입에 의해 고립된 자리에서 외로이 서 있는 시인.,"(26, 25, 23)",0.0,0,
05797-landscap.jpg,This painting represents a landscape with a barge being towed along a canal,"['Oil', 'panel']",['Vertical'],['Landscape'],['Flemish'],['Baroque'],a painting of a river scene with figures and figures,bout pieter,Landscape,낮은 산맥과 강가에 작은 배를 내달린 보트가 나 타는 풍경.,"(165, 161, 142)",0.0,0,
